"sid","X2015.10.08.00.10.00","X2015.10.08.00.20.00","X2015.10.08.00.30.00","X2015.10.08.00.40.00","X2015.10.08.00.50.00","X2015.10.08.01.00.00","X2015.10.08.01.10.00","X2015.10.08.01.20.00","X2015.10.08.01.30.00","X2015.10.08.01.40.00","X2015.10.08.01.50.00","X2015.10.08.02.00.00","X2015.10.08.02.10.00","X2015.10.08.02.20.00","X2015.10.08.02.30.00","X2015.10.08.02.40.00","X2015.10.08.02.50.00","X2015.10.08.03.00.00","X2015.10.08.03.10.00","X2015.10.08.03.20.00","X2015.10.08.03.30.00","X2015.10.08.03.40.00","X2015.10.08.03.50.00","X2015.10.08.04.00.00","X2015.10.08.04.10.00","X2015.10.08.04.20.00","X2015.10.08.04.30.00","X2015.10.08.04.40.00","X2015.10.08.04.50.00","X2015.10.08.05.00.00","X2015.10.08.05.10.00","X2015.10.08.05.20.00","X2015.10.08.05.30.00","X2015.10.08.05.40.00","X2015.10.08.05.50.00","X2015.10.08.06.00.00","X2015.10.08.06.10.00","X2015.10.08.06.20.00","X2015.10.08.06.30.00","X2015.10.08.06.40.00","X2015.10.08.06.50.00","X2015.10.08.07.00.00","X2015.10.08.07.10.00","X2015.10.08.07.20.00","X2015.10.08.07.30.00","X2015.10.08.07.40.00","X2015.10.08.07.50.00","X2015.10.08.08.00.00","X2015.10.08.08.10.00","X2015.10.08.08.20.00","X2015.10.08.08.30.00","X2015.10.08.08.40.00","X2015.10.08.08.50.00","X2015.10.08.09.00.00","X2015.10.08.09.10.00","X2015.10.08.09.20.00","X2015.10.08.09.30.00","X2015.10.08.09.40.00","X2015.10.08.09.50.00","X2015.10.08.10.00.00","X2015.10.08.10.10.00","X2015.10.08.10.20.00","X2015.10.08.10.30.00","X2015.10.08.10.40.00","X2015.10.08.10.50.00","X2015.10.08.11.00.00","X2015.10.08.11.10.00","X2015.10.08.11.20.00","X2015.10.08.11.30.00","X2015.10.08.11.40.00","X2015.10.08.11.50.00","X2015.10.08.12.00.00","X2015.10.08.12.10.00","X2015.10.08.12.20.00","X2015.10.08.12.30.00","X2015.10.08.12.40.00","X2015.10.08.12.50.00","X2015.10.08.13.00.00","X2015.10.08.13.10.00","X2015.10.08.13.20.00","X2015.10.08.13.30.00","X2015.10.08.13.40.00","X2015.10.08.13.50.00","X2015.10.08.14.00.00","X2015.10.08.14.10.00","X2015.10.08.14.20.00","X2015.10.08.14.30.00","X2015.10.08.14.40.00","X2015.10.08.14.50.00","X2015.10.08.15.00.00","X2015.10.08.15.10.00","X2015.10.08.15.20.00","X2015.10.08.15.30.00","X2015.10.08.15.40.00","X2015.10.08.15.50.00","X2015.10.08.16.00.00","X2015.10.08.16.10.00","X2015.10.08.16.20.00","X2015.10.08.16.30.00","X2015.10.08.16.40.00","X2015.10.08.16.50.00","X2015.10.08.17.00.00","X2015.10.08.17.10.00","X2015.10.08.17.20.00","X2015.10.08.17.30.00","X2015.10.08.17.40.00","X2015.10.08.17.50.00","X2015.10.08.18.00.00","X2015.10.08.18.10.00","X2015.10.08.18.20.00","X2015.10.08.18.30.00","X2015.10.08.18.40.00","X2015.10.08.18.50.00","X2015.10.08.19.00.00","X2015.10.08.19.10.00","X2015.10.08.19.20.00","X2015.10.08.19.30.00","X2015.10.08.19.40.00","X2015.10.08.19.50.00","X2015.10.08.20.00.00","X2015.10.08.20.10.00","X2015.10.08.20.20.00","X2015.10.08.20.30.00","X2015.10.08.20.40.00","X2015.10.08.20.50.00","X2015.10.08.21.00.00","X2015.10.08.21.10.00","X2015.10.08.21.20.00","X2015.10.08.21.30.00","X2015.10.08.21.40.00","X2015.10.08.21.50.00","X2015.10.08.22.00.00","X2015.10.08.22.10.00","X2015.10.08.22.20.00","X2015.10.08.22.30.00","X2015.10.08.22.40.00","X2015.10.08.22.50.00","X2015.10.08.23.00.00","X2015.10.08.23.10.00","X2015.10.08.23.20.00","X2015.10.08.23.30.00","X2015.10.08.23.40.00","X2015.10.08.23.50.00","X2015.10.09.00.00.00"
"3077",0,0,-1,0,0,0,0,-2,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,-1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-2,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,-1,-3,-1,4,0,-1,0,-1,1,0,0,-2,-1,0,0,0,2,-2,-2,1,-1,0,0,0,-1,4,0,-3,0,0,0,0,-2,-2,-1,2,1,1,0
"3079",0,-1,0,0,0,1,0,2,0,0,0,-1,0,1,0,0,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,-2,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,-1,0,0,0,-1,0,0,0,0,1,0,-1,1,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-2,-1,0,-1,-1,1,-1,1,0,2,0,-2,2,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,-1,-1,-1,0,2,-1
"3080",0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,1,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,-1,0,1,0,-1,0,0,-1,0,-1,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,0,0,0,-1,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,1,0,0,1,-2,0,0,0
"3081",2,1,1,-1,0,0,0,0,0,3,1,-1,0,0,0,0,0,0,0,0,1,0,0,1,-2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,0,-1,0,0,-1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,0,-1,1,0,-1,-1,1,0,0,0,0,1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1,-1,0,2,1,-2,1,-2,0,1,-2,0,0,0,1,1,0,0,1,0,0,0,0,-1,0,0,0,-1,0
"3082",2,1,0,1,0,-1,2,-1,0,0,0,0,0,0,-1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,-1,0,1,1,0,-1,0,0,0,1,2,0,1,0,0,0,0,1,-1,-1,1,0,1,0,1,0,0,-1,0,0,0,0,0,-1,-1,0,-2,-1,0,0,1,-2,0,1,0,0,0,0,0,0,-1,-1,1,-2,-1,0,1,0,1,0,1,1,-2,-1,-1,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,1,3,1,0,0,-2,1,0,0,2,1,0,1,0,0,1,0,0
"3083",0,0,-3,-1,2,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,-1,0,1,0,1,0,1,0,1,0,-1,-2,0,-1,0,0,-1,0,0,0,-1,0,0,0,1,1,-1,0,-1,0,-1,0,0,0,1,1,0,1,-1,-1,0,0,1,0,1,0,0,0,0,-2,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,1,1,0,-2,0,-1,0,0,0,-1,-1,1,2,1,0,1,0,-1,-1,0,-1,1,1,-1,0,-1,-1,2,-1,1,-2,0
"3084",0,-1,1,0,0,0,0,0,-1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,0,0,-2,0,-1,1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-2,2,0,1,0,4,0,1,-2,0,1,-1,0,-1,0,-1,1,-1,1,0,1,1,-1,-1,0,-1,0,0,0,-3,0,0,1,-2,-3,1,-1,2,0,0,4,1,-2,0,0,-1,0,-6,-1,0,1,0,0,2,0,0,0,2,2,0,1,0,0,0,-4,0,0,0
"3085",0,0,0,0,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,2,0,0,-1,-1,0,0,0,0,1,0,1,0,0,0,0,0,1,-2,0,0,0,0,0,-1,0,0,2,1,1,1,0,0,-1,0,-1,2,1,0,-1,0,1,2,0,-2,-2,0,0,0,0,0,-2,0,-1,-1,-2,0,2,-2,-1,-1,-2,-1,1,0,0,0,1,2,2,0,0,0,0,0,0,0,1
"3086",-2,0,-1,1,-2,0,-1,2,0,0,0,0,0,-1,0,1,-1,0,-1,0,0,0,0,1,0,0,1,0,1,2,0,-2,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-2,-1,-2,-1,-3,-2,-2,-1,-1,-3,2,-1,0,1,0,0,0,0,0,0,1,1,1,0,3,1,2,2,3,2,1,2,1,3,-2,-4,-11,-4,0,0,0,0,0,0,0,-1,-1,0,0,1,-1,0,0,-1,2,-2,0,0,0,-3,-1,0,-1,2,3,-2,-3,2,1,2,-1,1,1,-1,0,0,0,0,-1,2,0,0,3,3,1,2,0,-4,-2,5,5,-3,-1,-1,1,0,-1
"3087",0,1,1,1,-1,0,0,1,-1,-1,0,1,0,1,0,0,-1,0,2,2,0,0,0,0,0,-1,-1,0,0,1,0,-1,1,0,0,0,0,-1,0,0,0,0,-2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,-1,1,-1,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,-1,0,-1,1,-1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,-1,-1,-1,-2,0,1,0,0,1,-1,1,0,2,1,2,0,0,-1,0,0,2,0,-1,-1,0,0,1,3,1,0,0,3,-2,1,-1
"3088",1,0,0,0,1,0,0,0,-1,1,0,-1,0,0,0,0,0,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,1,0,0,-1,1,0,0,0,1,0,1,0,0,3,-1,0,1,-1,0,1,1,0,-1,0,0,0,-1,1,-1,0,-1,0,-1,0,-1,0,0,-3,1,0,-1,1,0,-1,0,0,0,0,-1,0,0,0,0,0,2,0,0,-1,-1,0,1,0,-1,-1,0,0,-1,1,0,0,1,-1,0,0,-1,0,0,0,0,0,0,1,0,1,-2,0,1,1,0,-2,1,-1,0,0,0,1,0,0,2,0,0
"3090",-2,0,1,0,1,0,-1,0,0,0,0,2,0,1,-1,0,-2,0,0,0,0,0,1,0,1,0,-1,0,-1,0,1,0,0,0,0,-1,-1,-1,0,-1,1,0,0,-1,0,-5,-1,-2,-3,-6,-1,-1,0,-1,-2,-3,-4,1,1,0,-1,-2,-2,1,0,0,-1,3,0,3,0,6,3,4,2,2,-1,-10,4,3,4,1,0,-1,3,-1,1,1,0,-1,1,-1,0,0,0,-5,0,0,1,0,3,1,-2,0,1,0,-2,-1,-1,3,3,3,2,3,4,-1,3,4,0,3,-2,2,0,1,0,0,1,0,-2,-3,3,0,1,0,-1,-3,-3,-1,-4,0,-4,-1,0,0
"3091",-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-2,1,0,0,0,1,0,1,2,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,-1,-2,1,0,0,1,0,1,-1,0,0,-2,-1,1,0,2,0,0,1,0,3,0,0,0,0,0,-1,0,0,-1,-1,0,1,1,0,3,-2,-1,0,-2,0,0,0,0,-3
"3092",-1,-1,-2,0,-2,2,0,-1,-1,-2,0,-1,-2,0,0,-1,-3,-1,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,-1,-2,-3,0,1,0,1,0,0,0,-2,-3,0,1,-1,1,-1,-1,-1,0,0,1,-1,1,1,1,4,0,-2,-1,-1,1,1,-2,2,3,1,0,2,0,0,1,1,1,1,1,0,2,2,2,-1,3,2,1,0,1,-1,3,2,0,-1,0,-3,0,0,1,0,-1,-2,0,0,0,-3,-1,0,-4,0,0,0,-2,1,-1,-3,-1,2,0,1,-1,1,-1,0,0,0,0,0
"3093",-6,-2,0,-1,1,0,1,-1,-1,0,1,-1,1,-1,1,-1,1,0,0,0,0,2,0,-1,0,1,1,0,-1,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,-1,-1,-2,-2,-4,-5,0,-2,0,0,0,-3,-2,0,0,1,-1,0,1,0,3,0,1,0,2,4,3,2,4,5,3,1,0,0,0,3,1,1,0,-1,1,0,-3,-7,-9,0,0,-1,-1,-2,-2,-2,2,2,-4,0,1,0,-1,0,0,-1,-4,0,1,1,4,0,1,-1,1,1,0,-2,1,1,-1,-1,1,-1,0,0,1,-1,0,1,4,0,-1,0,-2,-1,-1,1,-1,0,0,1
"3094",-1,-1,-2,0,0,0,1,-1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,3,1,0,1,-1,1,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,-1,1,0,-4,-1,0,-1,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,0,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-3,0,0,0,2,-1,-1,-1,0,-1,0,1,0,-1,0,0,0,0
"3095",0,0,0,0,-2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-2,-2,0,-2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,1,-1,0,0,0,0,1,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,-2,1,-1,0,0
"3097",0,0,0,0,0,0,2,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,1,0,-2,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,-2,0,-1,-1,0,-2,-1,0,2,0,-2,-3,-1,-1,0,-1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,2,0,0,-1,-1,2,1,-1,0,-2,1,-2,-1,0,-1,0,-1,-1,0,1,0,-2,0,-3,-2,0,-1,0,3,-2,-2,-1,0,2,-1,2,1
"3098",1,1,-1,-2,0,0,0,0,1,0,0,-2,-1,0,1,-3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,0,0,1,0,0,0,0,-2,0,-1,0,-1,0,0,2,-1,2,-1,0,1,0,-1,1,0,0,0,-2,0,-1,0,0,2,0,1,0,1,2,0,-2,1,-2,1,0,-1,-1,1,-1,0,0,0,1,1,1,1,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1
"3101",-1,-5,-4,2,-3,1,1,0,0,0,0,-1,-1,-2,0,1,0,-1,0,1,0,-1,0,0,0,0,0,0,2,-1,0,0,0,0,0,1,0,-1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,-1,0,1,-1,0,0,-1,3,1,-1,0,-3,0,0,-1,-1,0,0,0,0,-1,1,-1,0,3,0,-3,1,0,0,0,-3,0,0,1,4,0,-1,0,1,-1,2,0,0,0,-1,0,0,-3,-1,3,0,1,0,0,0,0,0,-2,-1,1,-2,0,-2,-1,-3,0,0,1,2,0,0,3,0,0,-1,-1,1,-1,-1,0,0,0,0,0,1,1,1,2,2,0
"3102",1,0,0,0,1,-1,0,0,-1,0,0,0,0,0,0,0,1,-1,0,-2,0,0,-1,0,0,1,0,0,-1,0,0,0,1,0,0,0,0,0,0,1,-1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,-1,0,0,-1,1,0,1,0,-1,0,0,0,-1,0,-2,0,-1,0,-1,0,0,0,0,0,1,0,-1,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,-1,0,-1,1,0,1,1,-1,0,0,0,0,0,-2,-1,0,3,0,1,-1,1,0,-1,1,0,0,0,0,-1,2,-1,-2,1,0,0,1,0,0,1,1,-1,1
"3103",1,1,0,2,0,1,-1,1,-2,0,0,-1,0,-1,0,0,0,0,-1,0,1,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,0,0,1,-4,-2,0,1,0,0,0,-1,0,0,0,0,0,-1,0,1,0,0,0,1,-3,0,0,-1,4,3,0,-1,0,0,0,1,-1,0,0,-1,3,0,2,2,0,2,-1,0,2,-8,-3,0,3,-1,7,-1,1,0,0,-1,3,1,0,0,-3,1,-2,-2,-1,-2,0,-5,0,-2,0,0,-1,1,1,2,-1,0,0,1,-3,1,3,1,1,1,0,-1,0
"3104",0,4,-2,0,0,-1,0,0,0,0,1,-1,-1,1,0,-1,0,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,1,1,2,-2,-2,0,1,0,0,-1,-1,1,-1,1,-1,-1,-3,0,-1,2,1,1,-1,0,-1,-1,-2,0,1,1,1,0,-4,-2,-1,2,1,0,1,1,4,-1,1,-4,-1,-5,-1,-2,0,1,-1,2,-2,1,-2,0,4,1,4,-3,-2,-3,0,-1,3,0,0,1,0,4,1,3,2,-3,-1,2,0,-2,1,0,1,4,-2,0,-2,-10,-1,1,-5,1,0,1,2,0,1,0,-3,3,2
"3105",0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,1,3,0,0,0,0,0,0,0,0,-1,-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,1,-1,0,0,-1,-1,1,0,-2,-1,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,1,-1,-1,2,0,-1,2,0,0,-1,0,0,1,0,0,-1,0,0,0,1,0,-1,0,0,0,0,1,0,1,1,-2,-1,0,0,0
"3106",2,3,0,-1,1,-2,0,0,1,1,0,-1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,4,0,6,2,0,0,0,0,0,0,0,1,-1,1,2,-1,2,0,2,0,0,-1,-2,0,-4,0,-6,-2,0,0,0,0,0,0,11,-1,1,-2,-2,0,-1,0,-2,0,0,0,-1,-2,-1,1,0,0,0,0,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,-1,0,0,-1,-1,0,1,0,0,-1,2,-1,0,-1,-1,0,2,3,1,-1,0,0,-1,-1,0
"3107",2,3,1,4,3,-3,0,0,0,-2,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-2,0,0,0,-1,2,0,1,2,2,1,1,0,0,-2,1,1,0,2,-1,0,4,0,0,1,0,-2,2,2,-2,0,-1,-2,-3,-1,-1,-1,-2,3,-5,1,1,-2,1,-1,-2,0,2,3,0,2,-2,-1,0,0,0,0,3,-1,-1,1,2,0,5,-7,-4,0,-2,2,-4,1,-1,-3,-1,-2,1,0,-1,-2,1,1,-3,2,0,0,-2,0,-1,5,3,0,2,-1,2,-2,-1,0,0,1
"3108",4,-1,0,0,0,0,0,2,0,1,0,-1,1,0,-1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,-1,2,2,2,2,5,1,3,0,1,4,-1,0,0,0,-1,1,0,-2,0,1,0,0,-1,1,-1,-1,-2,-2,-5,-1,-3,-1,-1,-4,2,0,0,0,1,-1,0,1,0,0,0,0,0,-3,0,0,0,-1,-1,0,0,0,0,1,-1,-1,-1,0,-1,-1,0,1,0,0,-1,-2,-2,2,-2,-1,0,-1,0,-3,0,0,-1,-1,1,2,1,2,1,0,0,-1,-1,-1,1,2,2,1,0,0
"3109",1,1,0,0,0,-2,1,1,0,-1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,-1,0,1,0,1,0,0,-1,0,0,0,0,-2,0,-1,0,0,-1,-1,0,0,0,-2,-3,1,2,-1,0,-2,0,-2,1,-1,0,-1,-1,2,0,1,0,0,0,0,0,0,0,1,0,0,-3,0,-2,1,-1,2,-1,-1,3,1,0,0,0,0,0,-1,0,0,-1,-2,-1,0,0,-1,1,1,2,-1,1,0,-1,1,-2,0,-1,2,1,0,0,1,-1,0
"3110",1,0,-1,0,0,0,-1,-2,1,1,0,1,1,0,0,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,1,1,0,-1,0,1,0,0,0,-1,0,1,0,1,0,0,1,1,1,1,1,2,0,0,0,0,0,0,-1,-2,1,1,0,2,-1,-1,0,0,0,0,0,-1,-2,-2,-1,-2,1,2,0,0,0,0,1,1,-2,-2,9,0,1,1,0,0,-1,0,0,0,1,2,0,0,-1,-2,0,0,0,0,0,0,1,0,-4,-3,2,0,0,0,0,-2,2,0,1,-1,0,0,0,0,0,0,0,-1,-1,0,1,2,0,2,-1,-4,0,0,1,2,-2,0,-1
"3111",0,-1,0,0,0,-1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,1,0,-3,0,-1,0,0,0,1,1,-1,1,0,-1,0,0,0,0,-1,1,6,0,-1,0,0,0,1,-2,0,0,0,-1,-1,0,0,-2,1,1,0,-1,0,1,1,-2,-1,-1,0,0,-1,-1,1,2,0,-1,0,1,0,0,0,1,-3,0,-1,1,-1,-1,0,1,1,1,-1,1,1,1,-1,0
"3112",0,2,-2,3,0,0,0,0,-2,1,0,0,-2,0,1,-1,1,0,0,1,0,1,0,0,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-1,0,-1,0,0,-1,-1,0,-1,1,0,0,1,-2,1,0,-1,-1,-1,-1,-1,-2,3,0,0,1,3,-2,-1,2,2,0,0,-2,1,1,0,2,0,0,0,1,1,0,0,1,-1,-3,0,-1,0,1,2,-1,-2,-5,4,0,-1,3,-4,3,-5,-3,2,-2,-1,0,0,0,2,1,4,-1,-3,0,0,1,1,3,-3,1,-1,-5,1,-2,3,4,-2,2,1,0,0,-1,-2
"3113",0,1,1,-2,0,-3,0,0,0,0,0,1,-2,0,1,0,-1,1,0,0,2,-2,0,0,0,0,-1,0,0,3,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,0,0,1,1,2,0,1,1,2,2,1,0,0,0,2,0,-1,1,0,1,0,0,1,1,0,0,-1,-1,-2,-1,-1,-1,-1,-2,-1,-1,1,0,-2,0,1,-2,0,0,0,1,0,0,0,0,-2,0,0,-1,2,-1,1,0,1,0,0,-1,-1,-1,-1,1,1,-1,0,0,-1,-1,1,0,4,-1,0,2,0,0,-1,0,0,0,0,1,2,3,1,0,-2,1,0,-1,1,0,-1,0,-2
"3114",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2,0,-3,0,0,0,1,-1,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,3,0,3,-1,0,0,-1,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,2,1,0,0,2,-1,0,0,1,0,0,0,2,0,0,-1,0,1,0,0,1,2,0,1,-1,-2,0,0,-2,1,0,0,-1,0,0,0,-2,0,0,1,0
"3115",0,2,0,-2,0,4,-1,1,1,1,0,1,-1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-3,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-1,4,-1,0,1,-1,1,0,-1,-1,2,1,1,0,0,0,0,0,0,0,0,0,-2,0,0,-3,1,0,-1,0,-1,0,1,1,-1,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,-1,0,1,0,0,-1,0,0,-2,2,-1,-2,-1,-1,2,0,-1,-3,1,-1,-2,-1,-2,0,-1,1,1,-2,0,0,0,0,2,-3,0,2,1,1,-2,-1,0,4,-2,3
"3116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,-1,0,0,0,0,1,0,0,-2,0,0,-1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,-1,0,0,1,0,-1,1,0,0
"3117",0,0,0,-1,1,1,0,0,0,1,0,0,0,0,0,-1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,-1,1,1,1,1,0,1,-1,0,0,0,-1,0,-1,0,-1,1,0,-1,-1,0,-1,-1,0,1,-1,-1,-1,-1,0,0,1,0,-1,0,0,0,1,0,2,-1,1,0,0,-1,-2,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-2,0,-1,0,-1,0,-1,1,0,1,-1,0,1,-1,0,0,-1,0,0,0,0,1,-1,1,2,0,0,0,0,0
