"id","sid","X2015.10.08.00.12.00","X2015.10.08.00.34.00","X2015.10.08.00.40.00","X2015.10.08.01.32.00","X2015.10.08.01.52.00","X2015.10.08.02.52.00","X2015.10.08.02.58.00","X2015.10.08.04.13.00","X2015.10.08.04.30.00","X2015.10.08.05.58.00","X2015.10.08.06.16.00","X2015.10.08.06.41.00","X2015.10.08.06.54.00","X2015.10.08.07.07.00","X2015.10.08.07.25.00","X2015.10.08.07.38.00","X2015.10.08.07.52.00","X2015.10.08.08.05.00","X2015.10.08.08.18.00","X2015.10.08.08.31.00","X2015.10.08.08.44.00","X2015.10.08.08.57.00","X2015.10.08.09.10.00","X2015.10.08.09.22.00","X2015.10.08.09.35.00","X2015.10.08.09.48.00","X2015.10.08.10.00.00","X2015.10.08.10.12.00","X2015.10.08.10.24.00","X2015.10.08.10.37.00","X2015.10.08.10.49.00","X2015.10.08.11.03.00","X2015.10.08.11.18.00","X2015.10.08.11.33.00","X2015.10.08.11.48.00","X2015.10.08.12.02.00","X2015.10.08.12.17.00","X2015.10.08.12.32.00","X2015.10.08.12.47.00","X2015.10.08.12.59.00","X2015.10.08.13.12.00","X2015.10.08.13.24.00","X2015.10.08.13.37.00","X2015.10.08.13.49.00","X2015.10.08.14.02.00","X2015.10.08.14.15.00","X2015.10.08.14.28.00","X2015.10.08.14.40.00","X2015.10.08.14.53.00","X2015.10.08.15.07.00","X2015.10.08.15.20.00","X2015.10.08.15.33.00","X2015.10.08.15.46.00","X2015.10.08.15.59.00","X2015.10.08.16.13.00","X2015.10.08.16.26.00","X2015.10.08.16.39.00","X2015.10.08.16.52.00","X2015.10.08.17.06.00","X2015.10.08.17.19.00","X2015.10.08.17.32.00","X2015.10.08.17.53.00","X2015.10.08.18.12.00","X2015.10.08.18.25.00","X2015.10.08.18.38.00","X2015.10.08.18.51.00","X2015.10.08.19.04.00","X2015.10.08.19.17.00","X2015.10.08.19.30.00","X2015.10.08.19.43.00","X2015.10.08.19.55.00","X2015.10.08.20.08.00","X2015.10.08.20.21.00","X2015.10.08.20.39.00","X2015.10.08.20.53.00","X2015.10.08.21.03.00","X2015.10.08.21.18.00","X2015.10.08.21.29.00","X2015.10.08.21.41.00","X2015.10.08.21.53.00","X2015.10.08.22.04.00","X2015.10.08.22.16.00","X2015.10.08.22.27.00","X2015.10.08.22.38.00","X2015.10.08.22.56.00","X2015.10.08.23.04.00","X2015.10.08.23.16.00","X2015.10.08.23.24.00","X2015.10.08.23.35.00","X2015.10.08.23.50.00","X2015.10.08.23.56.00"
"437",3180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"438",3221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"439",3222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,2,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1
"440",3223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
"441",3224,0,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,-1,0,0,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"442",3226,0,0,0,0,0,0,0,0,0,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"443",3229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"444",3230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,24,24,44,25,34,26,44,20,33,34,18,16,16,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-3,-2,-4,-5,-1,-2,-8,-21,-47,-48,-31,-22,-2,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445",3231,0,19,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,-2,2,0,1,-2,0,0,0,0,-1,1,-3,2,1,0,0,-1,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0
"446",3232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
